Substation,Longitude,Latitude,Operator
"{""geometry"": {""coordinates"": [[11.098891, 43.842469], [11.099205, 43.842791], [11.099215, 43.842847], [11.099367, 43.843011], [11.099814, 43.842806], [11.10001, 43.842713], [11.099543, 43.84215], [11.098891, 43.842469]], ""type"": ""LineString""}, ""id"": 40634288, ""properties"": {""name"": ""San Giorgio"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRSGIF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.098891, 43.842469]","[11.099205, 43.842791]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.13674, 43.844876], [11.137268, 43.844643], [11.13778, 43.845247], [11.137252, 43.84548], [11.13674, 43.844876]], ""type"": ""LineString""}, ""id"": 41360301, ""properties"": {""name"": ""Marinella"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRMARF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.13674, 43.844876]","[11.137268, 43.844643]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.48187, 45.51826], [10.481962, 45.518875], [10.481923, 45.518915], [10.481406, 45.519033], [10.481165, 45.519044], [10.481165, 45.518781], [10.481172, 45.518654], [10.481318, 45.518369], [10.481393, 45.518297], [10.48187, 45.51826]], ""type"": ""LineString""}, ""id"": 41533579, ""properties"": {""name"": ""Calvagese"", ""operator"": ""E-Distribuzione S.p.A."", ""power"": ""substation"", ""ref:terna"": ""MMILCVGM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.48187, 45.51826]","[10.481962, 45.518875]",E-Distribuzione S.p.A.
"{""geometry"": {""coordinates"": [[9.629845, 45.730426], [9.630457, 45.730166], [9.630093, 45.729742], [9.62948, 45.730019], [9.629845, 45.730426]], ""type"": ""LineString""}, ""id"": 42135116, ""properties"": {""name"": ""Sorisole"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILSORM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.629845, 45.730426]","[9.630457, 45.730166]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.86117, 46.550313], [11.861963, 46.550235], [11.862046, 46.550143], [11.86198, 46.549696], [11.861063, 46.549768], [11.861156, 46.550239], [11.861161, 46.550269], [11.86117, 46.550313]], ""type"": ""LineString""}, ""id"": 42158565, ""properties"": {""barrier"": ""fence"", ""fence_type"": ""metal"", ""name"": ""Corvara"", ""operator"": ""Selnet"", ""power"": ""substation"", ""ref:terna"": ""VVENCRVV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.86117, 46.550313]","[11.861963, 46.550235]",Selnet
"{""geometry"": {""coordinates"": [[11.145215, 46.613173], [11.146358, 46.611936], [11.145619, 46.611613], [11.144673, 46.612638], [11.144476, 46.612851], [11.144949, 46.61306], [11.145215, 46.613173]], ""type"": ""LineString""}, ""id"": 42862642, ""properties"": {""name"": ""Lana"", ""operator"": ""SE Hydropower"", ""power"": ""substation"", ""ref:terna"": ""VVENLANVG1;VVENLANVG2;VVENLANVG3"", ""substation"": ""distribution"", ""voltage"": ""220000""}, ""type"": ""Feature""}","[11.145215, 46.613173]","[11.146358, 46.611936]",SE Hydropower
"{""geometry"": {""coordinates"": [[12.530646, 45.615865], [12.53142, 45.616072], [12.532148, 45.616267], [12.531548, 45.617275], [12.530046, 45.616843], [12.530646, 45.615865]], ""type"": ""LineString""}, ""id"": 43244899, ""properties"": {""name"": ""Musile"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""VVENMUSV"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.530646, 45.615865]","[12.53142, 45.616072]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.250604, 43.87878], [10.251146, 43.87811], [10.251364, 43.87818], [10.251319, 43.879013], [10.25126, 43.878994], [10.251236, 43.879025], [10.250604, 43.87878]], ""type"": ""LineString""}, ""id"": 45421779, ""properties"": {""name"": ""Viareggio Rondinella"", ""operator"": ""E-Distribuzione S.p.A."", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRVIRF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.250604, 43.87878]","[10.251146, 43.87811]",E-Distribuzione S.p.A.
"{""geometry"": {""coordinates"": [[11.124141, 43.959433], [11.12413, 43.959123], [11.124395, 43.958866], [11.124997, 43.959026], [11.124988, 43.95909], [11.124986, 43.959179], [11.124979, 43.959278], [11.12498, 43.959514], [11.124141, 43.959433]], ""type"": ""LineString""}, ""id"": 45490188, ""properties"": {""name"": ""Vaiano"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRVAIF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.124141, 43.959433]","[11.12413, 43.959123]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.290173, 41.301558], [16.2913, 41.301597], [16.291417, 41.300847], [16.290215, 41.300753], [16.290173, 41.301558]], ""type"": ""LineString""}, ""id"": 48357934, ""properties"": {""name"": ""Barletta"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPBARN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.290173, 41.301558]","[16.2913, 41.301597]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.235586, 41.316803], [16.236098, 41.316886], [16.236573, 41.316946], [16.236921, 41.315925], [16.236129, 41.315686], [16.235586, 41.316803]], ""type"": ""LineString""}, ""id"": 48357935, ""properties"": {""name"": ""Barletta Nord"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPBANN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.235586, 41.316803]","[16.236098, 41.316886]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.365914, 41.264763], [16.366698, 41.265184], [16.367581, 41.264277], [16.366879, 41.263751], [16.365914, 41.264763]], ""type"": ""LineString""}, ""id"": 48492701, ""properties"": {""name"": ""Trani"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPTRAN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.365914, 41.264763]","[16.366698, 41.265184]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.286686, 41.245629], [16.288188, 41.245807], [16.288221, 41.244927], [16.286695, 41.244885], [16.286686, 41.245629]], ""type"": ""LineString""}, ""id"": 48492702, ""properties"": {""barrier"": ""fence"", ""name"": ""Andria Nord"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPANNN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.286686, 41.245629]","[16.288188, 41.245807]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.723462, 45.64088], [9.724561, 45.641323], [9.725049, 45.640366], [9.723668, 45.640101], [9.723717, 45.640403], [9.723462, 45.64088]], ""type"": ""LineString""}, ""id"": 49423056, ""properties"": {""name"": ""Grassobbio"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILGRBM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.723462, 45.64088]","[9.724561, 45.641323]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.968259, 43.613594], [10.968557, 43.613651], [10.968642, 43.613657], [10.968885, 43.6137], [10.969188, 43.61291], [10.969095, 43.612868], [10.968961, 43.612798], [10.96878, 43.612711], [10.968714, 43.612682], [10.968639, 43.61267], [10.968539, 43.612752], [10.968259, 43.613594]], ""type"": ""LineString""}, ""id"": 50146388, ""properties"": {""name"": ""Castelfiorentino"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRCSFF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.968259, 43.613594]","[10.968557, 43.613651]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.046267, 37.447612], [15.047211, 37.447233], [15.047671, 37.448034], [15.04677, 37.448405], [15.046267, 37.447612]], ""type"": ""LineString""}, ""id"": 50589205, ""properties"": {""name"": ""Catania Zona Industriale"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALZICP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.046267, 37.447612]","[15.047211, 37.447233]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.058226, 37.479415], [15.059206, 37.478427], [15.059417, 37.478217], [15.058953, 37.477926], [15.058943, 37.477935], [15.058919, 37.477936], [15.058825, 37.477877], [15.058089, 37.477834], [15.057664, 37.479055], [15.058226, 37.479415]], ""type"": ""LineString""}, ""id"": 50589212, ""properties"": {""name"": ""Zia Lisa"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALZLIP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.058226, 37.479415]","[15.059206, 37.478427]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.5957, 45.647645], [9.596417, 45.647643], [9.596239, 45.647248], [9.595593, 45.647406], [9.5957, 45.647645]], ""type"": ""LineString""}, ""id"": 52155689, ""properties"": {""name"": ""Dalmine CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILDLMM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.5957, 45.647645]","[9.596417, 45.647643]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.170548, 45.572688], [9.171499, 45.572898], [9.171654, 45.572575], [9.171953, 45.571865], [9.17106, 45.571641], [9.170548, 45.572688]], ""type"": ""LineString""}, ""id"": 52332229, ""properties"": {""name"": ""Paderno Dugnano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILPADM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.170548, 45.572688]","[9.171499, 45.572898]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.986478, 44.403295], [8.986153, 44.402849], [8.98665, 44.402688], [8.986885, 44.402816], [8.987091, 44.402917], [8.987227, 44.403021], [8.98725, 44.403107], [8.98724, 44.403212], [8.987231, 44.40329], [8.987151, 44.403414], [8.987048, 44.403495], [8.986472, 44.403603], [8.98627, 44.403389], [8.986478, 44.403295]], ""type"": ""LineString""}, ""id"": 52577262, ""properties"": {""name"": ""Borgoratti"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""TTORBTIT"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.986478, 44.403295]","[8.986153, 44.402849]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.913056, 37.776529], [12.913223, 37.776409], [12.913305, 37.776414], [12.913349, 37.776384], [12.913346, 37.776308], [12.913638, 37.7761], [12.913687, 37.776084], [12.913826, 37.776157], [12.914682, 37.776663], [12.914718, 37.776781], [12.914248, 37.777118], [12.913914, 37.776852], [12.913674, 37.777033], [12.913056, 37.776529]], ""type"": ""LineString""}, ""id"": 53636927, ""properties"": {""name"": ""Santa Ninfa"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALSNIP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.913056, 37.776529]","[12.913223, 37.776409]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.84864, 37.627471], [12.849349, 37.627523], [12.849431, 37.627437], [12.849455, 37.627318], [12.849559, 37.627288], [12.849903, 37.626891], [12.848862, 37.626795], [12.848833, 37.626942], [12.848721, 37.627035], [12.84864, 37.627471]], ""type"": ""LineString""}, ""id"": 53738899, ""properties"": {""name"": ""Castelvetrano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALCSVP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[12.84864, 37.627471]","[12.849349, 37.627523]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.515517, 43.587676], [13.515368, 43.587701], [13.515353, 43.587656], [13.515503, 43.58763], [13.515517, 43.587676]], ""type"": ""LineString""}, ""id"": 54450720, ""properties"": {""building"": ""service"", ""name"": ""Cabina elettrica"", ""operator"": ""E-Distribuzione"", ""power"": ""substation"", ""ref"": ""659432"", ""substation"": ""distribution"", ""substation:name"": ""V.Ranieri"", ""utility"": ""power""}, ""type"": ""Feature""}","[13.515517, 43.587676]","[13.515368, 43.587701]",E-Distribuzione
