Substation,Longitude,Latitude,Operator
"{""geometry"": {""coordinates"": [[18.057514, 40.156312], [18.058788, 40.156671], [18.059145, 40.155927], [18.058306, 40.155685], [18.058175, 40.155797], [18.058018, 40.155931], [18.057951, 40.155913], [18.057514, 40.156312]], ""type"": ""LineString""}, ""id"": 173100648, ""properties"": {""name"": ""Galatone"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPGNEN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[18.057514, 40.156312]","[18.058788, 40.156671]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[17.41702, 40.39084], [17.417364, 40.38997], [17.418297, 40.390092], [17.418098, 40.390987], [17.41702, 40.39084]], ""type"": ""LineString""}, ""id"": 173219913, ""properties"": {""name"": ""Lizzano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPLIZN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[17.41702, 40.39084]","[17.417364, 40.38997]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.681814, 44.834097], [11.680787, 44.833993], [11.68047, 44.83403], [11.680229, 44.832764], [11.680535, 44.832726], [11.682047, 44.833216], [11.681814, 44.834097]], ""type"": ""LineString""}, ""id"": 173480606, ""properties"": {""name"": ""Focomorto CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRFE2F"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.681814, 44.834097]","[11.680787, 44.833993]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.304704, 40.327344], [9.304023, 40.326117], [9.305272, 40.325713], [9.305532, 40.325937], [9.305667, 40.326215], [9.305226, 40.326342], [9.305107, 40.326525], [9.305096, 40.326793], [9.305308, 40.32716], [9.304704, 40.327344]], ""type"": ""LineString""}, ""id"": 173657173, ""properties"": {""barrier"": ""fence"", ""fixme"": ""name"", ""name"": ""Nuoro"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""CCAGNUOC"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[9.304704, 40.327344]","[9.304023, 40.326117]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.610701, 43.8637], [10.610808, 43.862675], [10.611237, 43.86273], [10.611757, 43.862795], [10.611811, 43.864137], [10.611194, 43.864168], [10.610701, 43.8637]], ""type"": ""LineString""}, ""id"": 173660903, ""properties"": {""name"": ""Borgonuovo Zone"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRBRGF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.610701, 43.8637]","[10.610808, 43.862675]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.032512, 45.602398], [9.033148, 45.602072], [9.034169, 45.602053], [9.034253, 45.602001], [9.034425, 45.601183], [9.034226, 45.601158], [9.034222, 45.601106], [9.033836, 45.601057], [9.032764, 45.600968], [9.030866, 45.600869], [9.030783, 45.601865], [9.032189, 45.601933], [9.03217, 45.602036], [9.032543, 45.602051], [9.032512, 45.602398]], ""type"": ""LineString""}, ""id"": 173979145, ""properties"": {""fenced"": ""yes"", ""name"": ""Caronno"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILCNNM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.032512, 45.602398]","[9.033148, 45.602072]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.670476, 40.546811], [15.668632, 40.549173], [15.667411, 40.548593], [15.667896, 40.547972], [15.669002, 40.546589], [15.667572, 40.545961], [15.667873, 40.545609], [15.668172, 40.545698], [15.669277, 40.546181], [15.669319, 40.546346], [15.669727, 40.546533], [15.669874, 40.546533], [15.670476, 40.546811]], ""type"": ""LineString""}, ""id"": 174375491, ""properties"": {""name"": ""Tito Smistamento"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPTTON"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.670476, 40.546811]","[15.668632, 40.549173]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[14.983587, 40.974153], [14.982802, 40.97373], [14.982985, 40.973375], [14.983877, 40.973847], [14.983587, 40.974153]], ""type"": ""LineString""}, ""id"": 174530156, ""properties"": {""name"": ""Calore 60"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPCREN"", ""substation"": ""distribution"", ""voltage"": ""60000""}, ""type"": ""Feature""}","[14.983587, 40.974153]","[14.982802, 40.97373]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.031969, 40.872555], [15.031947, 40.87205], [15.032384, 40.872035], [15.032507, 40.872569], [15.031969, 40.872555]], ""type"": ""LineString""}, ""id"": 174532786, ""properties"": {""name"": ""Cassano 60"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""NNAPCNON"", ""substation"": ""distribution"", ""voltage"": ""60000""}, ""type"": ""Feature""}","[15.031969, 40.872555]","[15.031947, 40.87205]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.029529, 40.873365], [15.029687, 40.873008], [15.030008, 40.873086], [15.03004, 40.873172], [15.029934, 40.873343], [15.029815, 40.873433], [15.029529, 40.873365]], ""type"": ""LineString""}, ""id"": 174532789, ""properties"": {""name"": ""Acq. Cassano"", ""operator"": ""Alto Calore Servizi"", ""power"": ""substation"", ""ref:terna"": ""NNAPAQCN"", ""substation"": ""distribution"", ""voltage"": ""60000""}, ""type"": ""Feature""}","[15.029529, 40.873365]","[15.029687, 40.873008]",Alto Calore Servizi
"{""geometry"": {""coordinates"": [[11.23848, 43.794405], [11.239136, 43.794486], [11.239105, 43.793954], [11.238751, 43.793968], [11.238453, 43.794103], [11.23848, 43.794405]], ""type"": ""LineString""}, ""id"": 174884292, ""properties"": {""name"": ""Rifredi"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRRIFF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.23848, 43.794405]","[11.239136, 43.794486]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.463083, 44.049245], [10.463269, 44.049034], [10.463153, 44.048972], [10.463816, 44.048244], [10.464209, 44.048397], [10.464279, 44.048698], [10.463732, 44.049226], [10.463517, 44.049458], [10.463083, 44.049245]], ""type"": ""LineString""}, ""id"": 175045863, ""properties"": {""name"": ""Fornaci di Barga"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRFRBF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.463083, 44.049245]","[10.463269, 44.049034]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.58469, 37.32136], [13.584978, 37.320846], [13.584969, 37.320836], [13.585076, 37.320791], [13.585042, 37.320745], [13.585016, 37.320712], [13.585002, 37.32069], [13.584888, 37.320744], [13.584449, 37.320576], [13.58416, 37.320471], [13.584074, 37.320624], [13.583971, 37.320909], [13.584043, 37.321125], [13.58469, 37.32136]], ""type"": ""LineString""}, ""id"": 175348350, ""properties"": {""name"": ""Agrigento"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""PPALAGRP"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[13.58469, 37.32136]","[13.584978, 37.320846]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.040133, 44.788419], [11.03927, 44.787361], [11.039998, 44.78692], [11.041134, 44.788317], [11.040133, 44.788419]], ""type"": ""LineString""}, ""id"": 175495164, ""properties"": {""name"": ""San Prospero"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRSPSF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.040133, 44.788419]","[11.03927, 44.787361]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[13.055512, 43.129075], [13.055465, 43.128724], [13.056382, 43.128679], [13.056435, 43.129082], [13.055998, 43.129111], [13.055992, 43.129052], [13.055512, 43.129075]], ""type"": ""LineString""}, ""id"": 175631987, ""properties"": {""name"": ""Camerino"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""RROMCMRR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[13.055512, 43.129075]","[13.055465, 43.128724]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.441752, 44.063832], [10.441827, 44.063851], [10.44239, 44.063872], [10.442454, 44.063859], [10.442495, 44.06382], [10.442575, 44.063832], [10.442763, 44.063282], [10.442187, 44.063171], [10.442036, 44.063421], [10.441971, 44.0634], [10.441749, 44.063722], [10.441725, 44.063788], [10.441752, 44.063832]], ""type"": ""LineString""}, ""id"": 175818968, ""properties"": {""name"": ""Gallicano"", ""operator"": ""Enel Produzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRGALF;FFIRGALFTR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.441752, 44.063832]","[10.441827, 44.063851]",Enel Produzione
"{""geometry"": {""coordinates"": [[10.49686, 44.041405], [10.497283, 44.041043], [10.497712, 44.041309], [10.497265, 44.041657], [10.49686, 44.041405]], ""type"": ""LineString""}, ""id"": 175820589, ""properties"": {""name"": ""Barga"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRBAGF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.49686, 44.041405]","[10.497283, 44.041043]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.651797, 43.96238], [10.651894, 43.962411], [10.653032, 43.961974], [10.653198, 43.961889], [10.65286, 43.961642], [10.652527, 43.961886], [10.652184, 43.96194], [10.651824, 43.962133], [10.651642, 43.962164], [10.651797, 43.96238]], ""type"": ""LineString""}, ""id"": 175846458, ""properties"": {""name"": ""Villa Basilica"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRVIBF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.651797, 43.96238]","[10.651894, 43.962411]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.068435, 45.779425], [9.068884, 45.779595], [9.069009, 45.779216], [9.068835, 45.778715], [9.068499, 45.778543], [9.068408, 45.778676], [9.068339, 45.778671], [9.068128, 45.779233], [9.068435, 45.779425]], ""type"": ""LineString""}, ""id"": 175991168, ""properties"": {""name"": ""Albate"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILABTM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.068435, 45.779425]","[9.068884, 45.779595]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.796677, 45.641708], [8.796217, 45.641068], [8.796263, 45.641045], [8.796278, 45.64104], [8.796295, 45.641039], [8.796312, 45.641041], [8.796349, 45.641052], [8.796383, 45.640999], [8.796379, 45.640989], [8.796823, 45.640751], [8.79723, 45.641444], [8.797264, 45.641502], [8.796677, 45.641708]], ""type"": ""LineString""}, ""id"": 176201321, ""properties"": {""barrier"": ""fence"", ""name"": ""Arnate"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILARNM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.796677, 45.641708]","[8.796217, 45.641068]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.859269, 45.632798], [8.860066, 45.632771], [8.860268, 45.632756], [8.860283, 45.631936], [8.859721, 45.631896], [8.859295, 45.631884], [8.859282, 45.632361], [8.859281, 45.632379], [8.859271, 45.632744], [8.859269, 45.632798]], ""type"": ""LineString""}, ""id"": 176201329, ""properties"": {""barrier"": ""fence"", ""name"": ""Olgiate Olona"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILOLG"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.859269, 45.632798]","[8.860066, 45.632771]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.745887, 41.048074], [16.74554, 41.048261], [16.745609, 41.048356], [16.746176, 41.048907], [16.746305, 41.048745], [16.746346, 41.048606], [16.746327, 41.048535], [16.746315, 41.048511], [16.746384, 41.048473], [16.746077, 41.048115], [16.745922, 41.048115], [16.745887, 41.048074]], ""type"": ""LineString""}, ""id"": 177968769, ""properties"": {""name"": ""Bitetto FS"", ""operator"": ""RFI"", ""operator:wikidata"": ""Q1060049"", ""power"": ""substation"", ""ref:terna"": ""NNAPBTFN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.745887, 41.048074]","[16.74554, 41.048261]",RFI
"{""geometry"": {""coordinates"": [[15.660635, 40.866221], [15.661577, 40.865653], [15.662251, 40.866279], [15.661314, 40.866846], [15.660635, 40.866221]], ""type"": ""LineString""}, ""id"": 178318846, ""properties"": {""name"": ""Atella"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPATEN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.660635, 40.866221]","[15.661577, 40.865653]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.538904, 43.818551], [10.538662, 43.817397], [10.539402, 43.817293], [10.53966, 43.818354], [10.539419, 43.818454], [10.539172, 43.818524], [10.538904, 43.818551]], ""type"": ""LineString""}, ""id"": 179426959, ""properties"": {""name"": ""Toringo"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRTRNF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.538904, 43.818551]","[10.538662, 43.817397]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[15.96722, 38.310108], [15.966959, 38.310197], [15.96605, 38.310611], [15.966438, 38.3111], [15.966437, 38.311158], [15.966233, 38.311272], [15.96608, 38.311382], [15.966873, 38.311492], [15.966895, 38.311402], [15.966785, 38.311354], [15.966798, 38.311262], [15.966943, 38.31119], [15.967166, 38.310266], [15.96722, 38.310108]], ""type"": ""LineString""}, ""id"": 179459944, ""properties"": {""name"": ""Oppido"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPOPPN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[15.96722, 38.310108]","[15.966959, 38.310197]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.808632, 43.693207], [11.808262, 43.692687], [11.807367, 43.693032], [11.80779, 43.693559], [11.808632, 43.693207]], ""type"": ""LineString""}, ""id"": 180638112, ""properties"": {""name"": ""Bibbiena"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRBIBF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.808632, 43.693207]","[11.808262, 43.692687]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.257199, 42.571767], [11.25674, 42.572312], [11.256478, 42.572273], [11.256201, 42.572079], [11.256083, 42.571919], [11.255806, 42.571765], [11.25614, 42.571299], [11.257199, 42.571767]], ""type"": ""LineString""}, ""id"": 180715106, ""properties"": {""name"": ""Montiano"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRMOTF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.257199, 42.571767]","[11.25674, 42.572312]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.765075, 41.105501], [16.765091, 41.105246], [16.765003, 41.105243], [16.765003, 41.105229], [16.765013, 41.104985], [16.765338, 41.104999], [16.765712, 41.105522], [16.765075, 41.105501]], ""type"": ""LineString""}, ""id"": 180751647, ""properties"": {""name"": ""Getrag"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPGTRN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.765075, 41.105501]","[16.765091, 41.105246]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[16.796719, 41.112477], [16.797131, 41.111633], [16.79822, 41.111968], [16.797808, 41.112773], [16.796719, 41.112477]], ""type"": ""LineString""}, ""id"": 180752050, ""properties"": {""name"": ""Bari Industriale 1"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPBI1N"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[16.796719, 41.112477]","[16.797131, 41.111633]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.796402, 43.867454], [12.795656, 43.866819], [12.796464, 43.866303], [12.796854, 43.866632], [12.796854, 43.866719], [12.796913, 43.866761], [12.797015, 43.866757], [12.797214, 43.866912], [12.796402, 43.867454]], ""type"": ""LineString""}, ""id"": 180929588, ""properties"": {""name"": ""Montelabbate"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMMBBR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.796402, 43.867454]","[12.795656, 43.866819]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.753229, 43.955351], [12.752518, 43.955587], [12.752427, 43.955428], [12.75229, 43.955402], [12.752182, 43.95522], [12.752147, 43.955047], [12.752158, 43.954887], [12.753236, 43.954573], [12.753305, 43.954588], [12.753939, 43.955655], [12.753624, 43.95575], [12.753464, 43.95548], [12.753229, 43.955351]], ""type"": ""LineString""}, ""id"": 180930426, ""properties"": {""name"": ""Gabicce"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMGABR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.753229, 43.955351]","[12.752518, 43.955587]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[12.298693, 43.909047], [12.298178, 43.908735], [12.298628, 43.908321], [12.299175, 43.908657], [12.298693, 43.909047]], ""type"": ""LineString""}, ""id"": 180934829, ""properties"": {""name"": ""Talamello"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""operator:wikipedia"": ""it:E-distribuzione"", ""power"": ""substation"", ""ref:terna"": ""RROMTLRR"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[12.298693, 43.909047]","[12.298178, 43.908735]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[11.601466, 44.859162], [11.601395, 44.858787], [11.601491, 44.858754], [11.601458, 44.858617], [11.601365, 44.858587], [11.60118, 44.857663], [11.60345, 44.857425], [11.60353, 44.857892], [11.602996, 44.857946], [11.603013, 44.858137], [11.602946, 44.858214], [11.603097, 44.85893], [11.601828, 44.859082], [11.601466, 44.859162]], ""type"": ""LineString""}, ""id"": 181126359, ""properties"": {""name"": ""Ferrara Zona Industriale"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRFZIF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[11.601466, 44.859162]","[11.601395, 44.858787]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[8.897994, 45.619631], [8.898704, 45.619863], [8.898967, 45.619602], [8.898983, 45.619487], [8.899132, 45.619321], [8.899041, 45.619255], [8.899039, 45.61924], [8.89863, 45.619098], [8.898604, 45.619115], [8.898388, 45.619052], [8.898344, 45.619128], [8.898366, 45.619209], [8.898307, 45.619292], [8.898185, 45.619318], [8.897994, 45.619631]], ""type"": ""LineString""}, ""id"": 181308997, ""properties"": {""barrier"": ""fence"", ""name"": ""Castellanza"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILCSZM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[8.897994, 45.619631]","[8.898704, 45.619863]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[18.019249, 40.059354], [18.020676, 40.059432], [18.020789, 40.058366], [18.019876, 40.058317], [18.01952, 40.058292], [18.0193, 40.058783], [18.019249, 40.059354]], ""type"": ""LineString""}, ""id"": 181441188, ""properties"": {""name"": ""Gallipoli"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""NNAPGLPN"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[18.019249, 40.059354]","[18.020676, 40.059432]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.103037, 44.081083], [10.102988, 44.081021], [10.102948, 44.080918], [10.102937, 44.080867], [10.102927, 44.080732], [10.102932, 44.080501], [10.102951, 44.080253], [10.102954, 44.080234], [10.103128, 44.080235], [10.103213, 44.080192], [10.103234, 44.080239], [10.1033, 44.0803], [10.103397, 44.080593], [10.103499, 44.080644], [10.103471, 44.080711], [10.103394, 44.080791], [10.103331, 44.081024], [10.103037, 44.081083]], ""type"": ""LineString""}, ""id"": 182102819, ""properties"": {""name"": ""Carrara"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRCRAF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.103037, 44.081083]","[10.102988, 44.081021]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.111413, 44.025949], [10.111633, 44.025837], [10.111429, 44.02566], [10.111145, 44.025587], [10.110769, 44.025606], [10.110286, 44.025834], [10.11059, 44.026144], [10.110524, 44.026178], [10.110665, 44.026322], [10.110662, 44.026327], [10.111413, 44.025949]], ""type"": ""LineString""}, ""id"": 182104132, ""properties"": {""name"": ""Massa Zona industriale"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRMZIF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.111413, 44.025949]","[10.111633, 44.025837]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.963559, 45.436441], [9.963487, 45.435315], [9.964546, 45.435282], [9.964619, 45.436407], [9.963559, 45.436441]], ""type"": ""LineString""}, ""id"": 182185332, ""properties"": {""name"": ""Orzivecchi"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILORZM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.963559, 45.436441]","[9.963487, 45.435315]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.963736, 45.241423], [9.963972, 45.240509], [9.964063, 45.240471], [9.964723, 45.24055], [9.964539, 45.2415], [9.963736, 45.241423]], ""type"": ""LineString""}, ""id"": 182189763, ""properties"": {""name"": ""Casalbuttano"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILCBTM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.963736, 45.241423]","[9.963972, 45.240509]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.909496, 45.52651], [9.910614, 45.526444], [9.91075, 45.527558], [9.909645, 45.527703], [9.909673, 45.52727], [9.909802, 45.527182], [9.909781, 45.527081], [9.909637, 45.527015], [9.909496, 45.52651]], ""type"": ""LineString""}, ""id"": 182200576, ""properties"": {""name"": ""San Bernardino"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILSBIM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.909496, 45.52651]","[9.910614, 45.526444]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.967094, 45.559769], [9.967003, 45.559452], [9.966477, 45.559512], [9.966349, 45.558993], [9.966619, 45.55896], [9.966629, 45.55899], [9.967526, 45.558906], [9.967606, 45.55892], [9.967636, 45.55896], [9.967822, 45.559677], [9.967094, 45.559769]], ""type"": ""LineString""}, ""id"": 182938394, ""properties"": {""name"": ""Coccaglio"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILCOCM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[9.967094, 45.559769]","[9.967003, 45.559452]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.019172, 45.56953], [10.018949, 45.568781], [10.020001, 45.568623], [10.020221, 45.569365], [10.019172, 45.56953]], ""type"": ""LineString""}, ""id"": 182939030, ""properties"": {""name"": ""Cazzago CP"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""MMILCZZM"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.019172, 45.56953]","[10.018949, 45.568781]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[9.914405, 45.542793], [9.91432, 45.542534], [9.914348, 45.542472], [9.914418, 45.542412], [9.914491, 45.542384], [9.915124, 45.542271], [9.915128, 45.542282], [9.91526, 45.542649], [9.914405, 45.542793]], ""type"": ""LineString""}, ""id"": 182939803, ""properties"": {""name"": ""Chiari CP"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""MMILCHEM"", ""substation"": ""distribution"", ""voltage"": ""150000""}, ""type"": ""Feature""}","[9.914405, 45.542793]","[9.91432, 45.542534]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.759521, 43.884845], [10.759775, 43.884843], [10.759931, 43.884327], [10.759354, 43.88435], [10.759429, 43.884534], [10.759521, 43.884845]], ""type"": ""LineString""}, ""id"": 183314250, ""properties"": {""name"": ""Montecatini"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRMTCF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.759521, 43.884845]","[10.759775, 43.884843]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.686635, 43.888687], [10.686729, 43.88849], [10.687284, 43.888507], [10.68728, 43.888723], [10.686701, 43.888719], [10.686635, 43.888687]], ""type"": ""LineString""}, ""id"": 183316620, ""properties"": {""name"": ""Pescia"", ""operator"": ""Enel Distribuzione"", ""operator:wikidata"": ""Q3725215"", ""power"": ""substation"", ""ref:terna"": ""FFIRPESF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.686635, 43.888687]","[10.686729, 43.88849]",Enel Distribuzione
"{""geometry"": {""coordinates"": [[10.510103, 43.851489], [10.510496, 43.851216], [10.510539, 43.850744], [10.510357, 43.850556], [10.509987, 43.850781], [10.509874, 43.850686], [10.509514, 43.850908], [10.510103, 43.851489]], ""type"": ""LineString""}, ""id"": 183325363, ""properties"": {""name"": ""Lucca Giannotti"", ""operator"": ""Enel Distribuzione"", ""power"": ""substation"", ""ref:terna"": ""FFIRLUGF"", ""substation"": ""distribution"", ""voltage"": ""132000""}, ""type"": ""Feature""}","[10.510103, 43.851489]","[10.510496, 43.851216]",Enel Distribuzione
